sport_name;sport_img;sport_description;participation_structure;sport_type;country_of_origin;country_flag_img;first_year_played;history_description;equipment
Cycling Road;https://cloudfront-us-east-2.images.arcpublishing.com/reuters/LF23QVXULJKS5JWWXXXRN5DS5E.jpg;Road cycling is an endurance sport where competitors race on paved public roads using lightweight bicycles. Competitions fall into two main categories: mass start events, like the famous Tour de France, where all riders start together and race to the finish line. The second type is the time trial, where individual riders or teams race solo against the clock for the fastest time. A key tactic in mass-start racing is drafting (riding closely behind another) to save energy from wind resistance. Road racing demands exceptional physical fitness, strategic teamwork, and technical skill in all terrains, from flat sprints to grueling mountain climbs.;both;athletic_sport;France;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/1280px-Flag_of_France.svg.png;1868;Modern road cycling originated in Western Europe, with the first organized races taking place in France in 1868. The sport quickly gained prominence in France, Italy, and Belgium. Iconic races such as the Tour de France (1903) were established in the early 20th century. Cycling has been featured at the modern Olympic Games since their inception in 1896.;Road Bicycle, Helmet, Cycling Shoes, Racing Kit/Jersey, Timing Chip.
Diving;https://cdn.britannica.com/26/257826-050-32E8E936/team-mexico-gabriela-agundez-garcia-competes-in-womens-10m-platform-semifinal-toyko-olympics-2021.jpg;Diving is a compelling aquatic sport where athletes perform elaborate acrobatic routines after springing from a springboard (3m) or falling from a fixed platform (10m). Competitors execute dives belonging to six groups (forward, backward, reverse, inward, twisting, and armstand) in positions like tuck, pike, or straight. A panel of judges scores the dive's execution based on the approach, take-off, flight, and the minimal-splash entry into the water. This execution score is then multiplied by the dive's degree of difficulty to determine the final points. The sport demands immense strength, flexibility, aerial awareness, and precision to achieve the perfect vertical entry.;individual;water_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1889;Competitive plunging began in Great Britain in the 1880s. Fancy diving, or acrobatic diving, was introduced to Britain by Swedish and German gymnasts. The first recorded Scottish Championships were held in 1889. Diving became an Olympic event in 1904, combining various plain and fancy dives.;Springboard (1m or 3m) or Platform (5m, 7.5m, 10m), Diving Pool.
Fencing;https://cdn.fstoppers.com/styles/full/s3/media/2016/12/10/mdestefano_rio_olympics_fencing_womens-3884.jpg;Fencing is a dynamic combat sport based on traditional swordsmanship, pitting two athletes against each other on a narrow strip called a piste. Competitors use one of three distinct weapons—the foil, épée, or sabre—each having its own target area and rules for scoring a touch. Points are registered electronically when the weapon makes contact with the opponent's valid target area. The sport demands a unique blend of athleticism, lightning-fast reflexes, complex tactical planning, and intense focus. Considered one of the original modern Olympic sports, fencing is often likened to a fast-paced physical game of chess.;both;combat_sport;Italy;https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/250px-Flag_of_Italy.svg.png;1880;Fencing evolved from ancient sword combat in various cultures. It developed into a structured sport in Italy and Germany during the 14th and 15th centuries. Italian and French masters greatly influenced the modern techniques and training weapons. The first formal competition was held in London in 1880. Fencing is one of the few sports to have appeared at every modern Olympics since 1896.;Epee/Foil/Sabre (weapon), Mask, Jacket, Plastron (underarm protector), Glove, Body Cord, Electric Scoring Apparatus.
Football;https://imgresizer.tntsports.io/unsafe/2560x1440/filters:format(jpeg)/origin-imgresizer.tntsports.io/2024/07/24/4008875-81315148-2560-1440.jpg;Football, or soccer, is the world's most popular team sport, played between two teams of eleven players aiming to score by getting a ball into the opposing goal. Players are restricted from using their hands or arms to move the ball, relying instead on their feet, head, and torso. The game is played across two 45-minute halves on a rectangular field called a pitch. The team with the most goals at the end of the match is declared the winner. Governed by the Fédération Internationale de Football Association (FIFA), its pinnacle event is the quadrennial FIFA World Cup.;team;ball_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1863;Ancestral games were played worldwide, but modern Association Football (soccer) was codified in England. The Football Association (FA) was founded in London in 1863, establishing rules that prohibited carrying the ball. This act separated Association Football from Rugby. It quickly became the world's most popular sport.;"Ball (size 5 for adults), Goals (or ""nets""), Pitch, Corner Flags, Shin Guards, Cleats (boots)."
Handball;https://cdn.dmcl.biz/media/image/244567/o/Allison+Pineau+getty.jpg;Handball is a fast-paced team sport played on an indoor court where two teams of seven players—six court players and a goalkeeper—compete to score goals. Players primarily use their hands to pass, dribble, and throw the ball, but they are restricted to holding the ball for only three seconds or taking three steps without bouncing it. The primary objective is to throw the ball into the opponent's goal, which is protected by a six-meter zone only the defending goalkeeper can stand in. Matches consist of two 30-minute halves, and the physical nature of the game makes it a demanding sport that requires speed, strength, and agility.;team;ball_sport;Germany;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/1280px-Flag_of_Germany.svg.png;1917;"The modern sport of handball was invented in Berlin, Germany, in 1917 by Max Heiser and Carl Schelenz. The original version was outdoor ""field handball."" Schelenz modified the rules in 1919, suitable for men's international play. The indoor version, now commonly played, became an Olympic sport in 1972.";Ball, Goals (nets), Court, Timekeeping device.
Hockey;https://th-i.thgim.com/public/incoming/a4m7c8/article68487044.ece/alternates/LANDSCAPE_1200/Paris_Olympics_Hockey_51524.jpg;Hockey is a diverse family of team sports where players use curved sticks to propel a ball or a disk, known as a puck, into the opponent's goal. The most prominent versions are Field Hockey, played with a ball on grass or turf, and Ice Hockey, played with a puck on an ice rink while wearing skates. In all variations, the core objective is to score more goals than the opposing team through skillful stick-handling, passing, and shooting. These fast-paced games require excellent physical conditioning, precision, and strategic teamwork. Hockey is a widely popular global sport, featured prominently in both the Summer and Winter Olympic Games.;team;ball_sport;Canada;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/1200px-Flag_of_Canada_%28Pantone%29.svg.png;1875;The sport of field hockey has deep roots in England, but the modern Ice Hockey version developed in Canada. The first recorded organized indoor game was played in Montreal in 1875 using rules established by McGill University students. The sport rapidly expanded across North America. Ice Hockey moved to the Winter Olympics after being featured in the 1920 Summer Games.;Stick, Puck (for Ice Hockey) or Ball (for Field Hockey), Skates (Ice), Pads/Protective Gear (shin, shoulder, helmet, gloves), Goal (with netting).
Judo;https://images.cnbctv18.com/uploads/2024/07/paris-olympics-2024-judo-2024-07-9031b3108fd06c329ec2f8250139f3da-780x438.jpg;"Judo, which translates to ""the gentle way,"" is a modern Japanese martial art and Olympic combat sport founded by Jigoro Kano in 1882. The main objective is to throw an opponent cleanly onto their back for an immediate victory, known as an Ippon. If a clean throw is not achieved, competitors aim to score points by executing throws, or immobilizing and subduing their opponent on the ground with pins, joint locks, or chokeholds. The sport emphasizes using an opponent's momentum and force to one's own advantage, rooted in the principles of ""maximum efficiency, minimum effort"" and ""mutual welfare and benefit."" Practitioners, called judoka, wear a uniform called a judogi and follow a strong moral code centered on respect and honor.";individual;combat_sport;Japan;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/1280px-Flag_of_Japan.svg.png;1882;Judo was created in Japan in 1882 by Jigoro Kano. He adapted the ancient martial art of Jujutsu, removing its most dangerous elements. Kano aimed to create a safer, educational, and competitive sport emphasizing maximum efficiency. He founded the Kodokan to teach the martial art and its underlying philosophy. Judo became an official Olympic sport in 1964.;"Tatami (mat), Judogi (uniform or ""gi""), Belts (indicating rank)."
Karate;https://www.shutterstock.com/blog/wp-content/uploads/sites/5/2021/07/Karate-Olympics-Feature.jpg;"Karate is a Japanese martial art that uses striking techniques, including powerful punches, kicks, knee, and elbow strikes, alongside defensive blocks. The term karate literally translates to ""empty hand,"" emphasizing unarmed combat. The sport has two main competitive disciplines: Kumite, which is sparring between two opponents with controlled contact to score points, and Kata, which involves solo performances of pre-arranged movements against imaginary opponents. Training focuses not only on physical prowess but also on developing mental discipline, respect, and character. It is practiced globally and has been featured as an Olympic sport.";individual;combat_sport;Japan;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/1280px-Flag_of_Japan.svg.png;1916;Karate originated on the island of Okinawa (now part of Japan), influenced by indigenous fighting systems and Chinese martial arts. It developed as a hand-to-hand fighting system during periods when weapons were banned. Master Gichin Funakoshi introduced the synthesized martial art to mainland Japan in 1916. The sport spread globally after World War II.;"Tatami (mat), Karategi (uniform or ""gi""), Protective gear (mouthguard, mitts, shin pads, chest protector)."
Marathon Swimming;https://vmrw8k5h.tinifycdn.com/news/wp-content/uploads/2020/07/marathon-odaiba-marine-park-tokyo2020.jpeg;Marathon swimming is an open water discipline defined by long-distance events, with the competitive minimum often set at 10 kilometers. Athletes compete in natural environments like seas, lakes, and rivers, facing challenges from currents, tides, and water temperature. The Olympic event is a single 10km race, which requires immense physical endurance, mental fortitude, and tactical awareness. Swimmers perform a mass start and must navigate the course without touching their support vessel or receiving external aid like wetsuits, making it a true test of human limits. Historical feats, such as the English Channel crossing, established this sport as the ultimate challenge in long-distance swimming.;individual;water_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1875;The concept gained global attention when Captain Matthew Webb (UK) successfully swam the English Channel in 1875. This feat established the standard for long-distance, open-water swimming. The sport was officially recognized by FINA at the 1991 World Championships. The 10km marathon distance made its debut at the Beijing 2008 Olympics.;Open Water Course (lake, river, sea), Buoys (to mark course), Wetsuit (optional/dependent on water temperature), Safety Boat/Kayaks, Timing Chip.
Rhythmic Gymnastics;https://i.eurosport.com/2024/07/16/image-d17873a9-c15a-48fd-805a-b53ca2312ab6-85-2560-1440.jpeg;Rhythmic Gymnastics is a visually stunning Olympic sport that blends the artistry of ballet and dance with the athleticism of gymnastics. Competitors, either individuals or groups, perform elaborate choreographed routines set to music. These routines involve the skillful manipulation of a single hand apparatus, such as a ribbon, hoop, ball, clubs, or rope. Judges award points based on a combination of difficulty (leaps, pivots, balances), execution (technical precision), and artistry (expression and music synchronization). The sport demands exceptional flexibility, strength, coordination, and grace from its athletes.;individual;athletic_sport;Russia;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/2560px-Flag_of_Russia.svg.png;1939;The sport evolved from 19th-century movements emphasizing artistic expression and music. Its modern, competitive form began in the Soviet Union (now Russia) during the 1940s. The first formal competition was held in Leningrad in 1939. It was recognized by the International Gymnastics Federation (FIG) in 1961. Rhythmic Gymnastics made its debut as an individual event at the 1984 Los Angeles Olympics.;Floor Mat, Apparatus (Rope, Hoop, Ball, Clubs, Ribbon), Leotard.
Rowing;https://res.cloudinary.com/usopc-prod/image/upload/v1684893732/TeamUSA%20Assets/Migration/oleary_meghan_080916_1440x810_Updated.jpg;Rowing is a challenging endurance sport where athletes race narrow, long boats called shells on rivers or lakes. Competitors propel their boat forward using oars that are fixed to the vessel, sitting with their backs to the direction of travel. Races are divided into two main disciplines: sculling, where each rower uses two oars, and sweep rowing, where each uses one oar with both hands. The sport demands extreme power, aerobic fitness, rhythm, and teamwork to cover the standard 2,000-meter race distance as quickly as possible. The largest boats, the eights, are steered by a coxswain, who also directs the crew's strategy and rhythm.;both;water_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1829;While rowing was historically a vital transport method, its modern sporting form originated in England. The most famous early competition is the annual Boat Race between Oxford and Cambridge Universities, first held in 1829. Organized racing led to the establishment of clubs and uniform rules. Rowing was included in the first modern Olympic Games in 1896.;Shell (boat, e.g., single scull, eight), Oars, Rowlock, Sliding Seat.
Sailing;https://assets-global.website-files.com/5ce44e4e8d1c1fc85b84c18d/64625d0d3539d7fbe0778bfc_whatsailboatsareusedintheolympics.jpeg;Sailing is a dynamic water sport where competitors race sailboats around a marked course using only the power of the wind. Success depends on a complex combination of skill, strategy, and knowledge of aerodynamics, currents, and weather patterns. Athletes must constantly adjust the sails and rudder to maximize boat speed, a process called trimming. Races, often organized in a series known as a regatta, involve technical maneuvers and tactical duels to outmaneuver opponents and secure the best position on the water. Competitive sailing ranges from small, single-person dinghies to large-crewed ocean-going yachts.;both;water_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1851;Organized competitive yacht racing began in the 17th century in the Netherlands and the UK. The defining international competition is the America's Cup, first held in 1851 off the coast of England. The sport was scheduled for the first modern Olympics but debuted in Paris in 1900.;Sailboat (various classes, e.g., Dinghy, Keelboat), Sails, Mast, Rudder, Lines/Ropes, Life jacket (safety).
Shooting;https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5692x3795+0+0/resize/5692x3795!/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fed%2Fb9%2F291632ff46eb8f8f43a8e0054269%2Fkim1.jpg;Shooting sport is a competitive activity that tests a participant's accuracy, precision, and speed using various types of ranged weapons, primarily firearms. It encompasses diverse disciplines, broadly categorized into rifle, pistol, and shotgun events, each with distinct rules and equipment. In rifle and pistol competitions, athletes fire at stationary bullseye targets from set distances, often requiring extreme stillness from the standing, kneeling, or prone positions. Conversely, shotgun events like Trap and Skeet involve shooting at moving clay targets launched into the air at high speeds. Success in this sport demands intense mental focus, breath control, and meticulous physical discipline to consistently hit the center mark.;individual;target_sport;Germany;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/1280px-Flag_of_Germany.svg.png;1477;Competitive shooting evolved from the military and hunting use of firearms. The earliest recorded shooting match took place in Bavaria, Germany, in 1477. The sport gained popularity in Europe during the 19th century with the formation of civilian shooting clubs. Shooting was included as one of the nine core sports at the first modern Olympics in 1896.;Firearm (Pistol, Rifle, Shotgun), Ammunition, Target, Safety Glasses, Hearing Protection, Shooting Jacket/Vest (for certain disciplines).
Swimming;https://swimswam.com/wp-content/uploads/2016/08/adrian-ervin.jpg;Swimming is an individual or team racing sport that requires an athlete to propel their body through water using coordinated movements of all their limbs. Competitive events take place in pools (either $25\text{m}$ short course or $50\text{m}$ long course) or in open water. Races are categorized by four main strokes: freestyle, backstroke, breaststroke, and butterfly, as well as the individual medley which combines all four. Success relies on a combination of endurance, explosive power, and highly refined technique to minimize water resistance and maximize speed. It is one of the most popular sports at the Summer Olympic Games, drawing worldwide attention. You can learn more about the basic concepts of the sport by watching this video;both;water_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1837;"Swimming has been practiced since prehistory but emerged as a competitive sport in England in the early 1800s. The National Swimming Society began holding regular competitions in London in 1837. The introduction of the faster ""crawl"" stroke by non-European competitors in 1844 revolutionized techniques. Competitive swimming has been a feature of the Olympic Games since 1896.";Swimming Pool (or open water), Swimsuit, Cap, Goggles, Starting Blocks (in pool), Lane Ropes.
Table Tennis;https://qz.com/cdn-cgi/image/width=1920,quality=85,format=auto/https://assets.qz.com/media/e4afe0d7e7b2c7f468469e13ebeef798.jpg;Table tennis, or Ping Pong, is a dynamic, fast-paced racket sport played on a flat rectangular table divided by a low net. Players, either singles or doubles, use small wooden rackets covered in rubber to hit a lightweight, hollow ball back and forth. The objective is to score points by hitting the ball so your opponent cannot legally return it. Play is characterized by the emphasis on spin and quick, precise reflexes, making it a challenging sport that demands excellent hand-eye coordination. It has been an official Olympic sport since $1988$ and is enjoyed worldwide as both a competitive and recreational pastime.;both;racket_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1890;"This sport began as an ""after-dinner"" parlour game in Victorian England during the 1880s. It was an indoor adaptation of Lawn Tennis for colder weather. The first patent for a table game set was registered in 1890. The International Table Tennis Federation (ITTF) was established in 1926. It gained official Olympic status at the Seoul Games in 1988.";"Racket (or ""paddle""), Ball (celluloid or plastic), Net (and support posts), Table."
